,eventid,iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,gname,targtype1_txt,Threat
16,197909220008,1979,9,22,India,Manipur,Unknown,24.663717000000002,93.906269,People's Liberation Army (India),Police,30.47539034887606
17,197912050003,1979,12,5,India,Uttar Pradesh,Unknown,26.846709000000004,80.946159,Unknown,Government (General),60.44504046438079
18,197912120004,1979,12,12,India,Manipur,Unknown,24.663717000000002,93.906269,Maoists,Government (General),46.548636158096706
19,197912200009,1979,12,20,India,Bihar,Unknown,25.096073999999998,85.313119,Naxalites,Police,33.113030147956785
20,198001010005,1980,1,1,India,Manipur,Imphal,24.798346,93.94043,Maoists,Government (General),46.548636158096706
21,198004250006,1980,4,25,India,Delhi,New Delhi,28.585835999999997,77.153336,Unknown,Private Citizens & Property,60.44504046438079
22,198005230003,1980,5,23,Bangladesh,Dhaka,Dhaka,23.791275,90.418205,Unknown,Government (General),60.44504046438079
23,198102160001,1981,2,16,Pakistan,Sindh,Karachi,24.891115,67.143311,Unknown,Religious Figures/Institutions,60.44504046438079
24,198103020005,1981,3,2,Pakistan,Sindh,Karachi,24.891115,67.143311,Others,Airports & Aircraft,13.605431765302821
25,198104060001,1981,4,6,India,Assam,Jorhat,26.75602,94.20945,Unknown,Government (General),60.44504046438079
26,198104270005,1981,4,27,India,Nagaland,Unknown,26.158435,94.562443,Others,Government (General),11.547120978032831
27,198105300001,1981,5,30,Bangladesh,Chittagong,Chittagong,22.341896,91.815117,Awami League,Government (General),30.486711821026287
28,198109150003,1981,9,15,India,Gujarat,Massad,21.214185999999998,73.243362,Unknown,Military,60.44504046438079
29,198109250001,1981,9,25,Pakistan,Punjab,Lahore,31.505470000000003,74.34288000000001,Others,Government (General),13.605431765302821
30,198109290003,1981,9,29,India,Delhi,New Delhi,28.585835999999997,77.153336,Sikh Extremists,Airports & Aircraft,43.179702008062264
31,198110150003,1981,10,15,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Unknown,Military,60.44504046438079
32,198203190002,1982,3,19,Bangladesh,Khulna,Khulna District,22.845641,89.540328,Unknown,Violent Political Party,60.44504046438079
33,198206040005,1982,6,4,India,West Bengal,Unknown,22.986757,87.854975,Naxalites,Violent Political Party,33.113030147956785
34,198206140006,1982,6,14,India,Delhi,New Delhi,28.585835999999997,77.153336,Unknown,Government (Diplomatic),60.44504046438079
35,198206150001,1982,6,15,India,Mizoram,Aizawl,23.727107,92.717639,Unknown,Government (General),60.44504046438079
36,198208200020,1982,8,20,India,Rajasthan,Jodhpur,26.292046999999997,73.032411,Sikh Extremists,Airports & Aircraft,43.179702008062264
37,198208260004,1982,8,26,India,Maharashtra,Bombay,19.075984,72.877656,Unknown,Government (Diplomatic),60.44504046438079
38,198209130004,1982,9,13,Pakistan,Sindh,Karachi,24.891115,67.143311,Unknown,Government (General),60.44504046438079
39,198209160003,1982,9,16,Pakistan,Sindh,Karachi,24.891115,67.143311,Unknown,Government (Diplomatic),60.44504046438079
40,198302150003,1983,2,15,India,Assam,Guwahati,26.149794,91.763931,Unknown,Government (General),60.44504046438079
41,198303210007,1983,3,21,India,Punjab,Harchowal,31.780193,75.451952,Unknown,Religious Figures/Institutions,60.44504046438079
42,198303210008,1983,3,21,India,Punjab,Mothan Wala,30.663937,74.40178900000001,Sikh Extremists,Private Citizens & Property,43.179702008062264
43,198304250001,1983,4,25,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Police,43.179702008062264
44,198306260013,1983,6,26,India,Punjab,Sultanpur Lodhi,31.214128000000002,75.19539300000001,Sikh Extremists,Religious Figures/Institutions,43.179702008062264
45,198308140002,1983,8,14,Sri Lanka,Northern,jaffna,9.666399,80.020477,Unknown,Violent Political Party,60.44504046438079
46,198308150003,1983,8,15,India,Punjab,Sri Muktsar Sahib,30.476639000000002,74.511172,Unknown,Police,60.44504046438079
47,198309210003,1983,9,21,India,Punjab,Ludhiana,30.898024,75.860077,Sikh Extremists,Police,43.179702008062264
48,198309230004,1983,9,23,India,Punjab,Amritsar,31.633078,74.878288,Others,Private Citizens & Property,5.591716600618357
49,198309260001,1983,9,26,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Police,43.179702008062264
50,198310140004,1983,10,14,India,Punjab,Tarn Taran,31.448943,74.925262,Unknown,Police,60.44504046438079
51,198310170004,1983,10,17,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Private Citizens & Property,43.179702008062264
52,198310250002,1983,10,25,India,Delhi,New Delhi,28.585835999999997,77.153336,Unknown,Government (Diplomatic),60.44504046438079
53,198311070008,1983,11,7,India,Delhi,New Delhi,28.585835999999997,77.153336,Others,Airports & Aircraft,2.339720770839918
54,198311190001,1983,11,19,India,Assam,Gauhati,26.149794,91.763931,Unknown,Government (General),60.44504046438079
55,198311280006,1983,11,28,India,Punjab,Jalandhar,31.326015,75.576183,Unknown,Government (General),60.44504046438079
56,198311300002,1983,11,30,Sri Lanka,Eastern,Batticaloa district,7.716666,81.700188,Others,Police,3.7260151319598087
57,198312200003,1983,12,20,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Sikh Extremists,Private Citizens & Property,43.179702008062264
58,198402070003,1984,2,7,India,Nagaland,Dimapur,25.906267,93.72759,Others,Government (General),21.45311759548454
59,198402160009,1984,2,16,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Police,60.44504046438079
60,198403030002,1984,3,3,Sri Lanka,Northern,Kankesanturai,9.815254,80.037053,Others,Private Citizens & Property,3.8260151319598084
61,198403230005,1984,3,23,India,Punjab,Ferozepur district,30.933134999999996,74.622476,Sikh Extremists,Religious Figures/Institutions,43.179702008062264
62,198403260012,1984,3,26,Sri Lanka,Northern,Point Pedro,9.824860000000001,80.236347,Unknown,Police,60.44504046438079
63,198403270010,1984,3,27,Sri Lanka,Northern,Unknown,8.885503,80.276733,Tamils,Police,34.740195575009565
64,198403300002,1984,3,30,India,Punjab,Amritsar,31.633078,74.878288,Unknown,Private Citizens & Property,60.44504046438079
65,198404000006,1984,4,0,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Military,34.740195575009565
66,198404000007,1984,4,0,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Police,34.740195575009565
67,198404000008,1984,4,0,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Government (General),34.740195575009565
68,198404020001,1984,4,2,India,Punjab,Amritsar,31.633078,74.878288,Others,Government (General),7.705977166761777
69,198404030005,1984,4,3,India,Chandigarh,Chandigarh,30.733315,76.779418,Others,Government (General),7.705977166761777
70,198404080005,1984,4,8,India,Punjab,Bhatinda,30.210994,74.945474,Unknown,Private Citizens & Property,60.44504046438079
71,198404110006,1984,4,11,India,Punjab,Rahon,31.052128000000003,76.117499,Sikh Extremists,Business,43.179702008062264
72,198404110007,1984,4,11,India,Punjab,Patiala,30.34,76.38,Unknown,Business,60.44504046438079
73,198404120001,1984,4,12,India,Haryana,Kalanaur,28.831236999999998,76.39556,Sikh Extremists,Journalists & Media,43.179702008062264
74,198404140001,1984,4,14,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Terrorists/Non-State Militia,43.179702008062264
75,198404160008,1984,4,16,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Terrorists/Non-State Militia,43.179702008062264
76,198404160009,1984,4,16,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Violent Political Party,43.179702008062264
77,198404160010,1984,4,16,India,Punjab,Amritsar,31.633078,74.878288,Unknown,Religious Figures/Institutions,60.44504046438079
78,198404170009,1984,4,17,India,Jammu and Kashmir,Bhela,33.315527,74.622476,Sikh Extremists,Private Citizens & Property,43.179702008062264
79,198404170012,1984,4,17,India,Chandigarh,Chandigarh,30.733315,76.779418,Sikh Extremists,Private Citizens & Property,43.179702008062264
80,198404220003,1984,4,22,India,Punjab,Jogiana,31.800653999999998,75.78801800000001,Sikh Extremists,Religious Figures/Institutions,43.179702008062264
81,198404230008,1984,4,23,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Military,60.44504046438079
82,198404240001,1984,4,24,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Sikh Extremists,Police,43.179702008062264
83,198404300003,1984,4,30,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Sikh Extremists,Police,43.179702008062264
84,198405010014,1984,5,1,India,Tripura,Unknown,23.940848000000003,91.988153,Tripura National Volunteers (TNV),Police,20.923549076397617
85,198405020003,1984,5,2,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Government (General),60.44504046438079
86,198405020005,1984,5,2,Sri Lanka,Northern,Point Pedro,9.824860000000001,80.236347,Liberation Tigers of Tamil Eelam (LTTE),Police,52.925560465320395
87,198405040006,1984,5,4,Sri Lanka,Northern,Jaffna district,9.66123,80.02558,Liberation Tigers of Tamil Eelam (LTTE),Police,52.925560465320395
88,198405070001,1984,5,7,India,Punjab,Ferozepur district,30.933134999999996,74.622476,Sikh Extremists,Government (General),43.179702008062264
89,198405100008,1984,5,10,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Government (General),34.740195575009565
90,198405100009,1984,5,10,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Religious Figures/Institutions,43.179702008062264
91,198405120006,1984,5,12,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Others,Journalists & Media,7.705977166761777
92,198405180008,1984,5,18,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Others,Religious Figures/Institutions,7.705977166761777
93,198405200003,1984,5,20,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Government (General),60.44504046438079
94,198405210010,1984,5,21,India,Punjab,Ferozepur,30.954424,74.612085,Unknown,Police,60.44504046438079
95,198405210012,1984,5,21,India,Punjab,Mansa district,29.999507,75.393681,Others,Religious Figures/Institutions,5.591716600618357
96,198405250006,1984,5,25,India,Punjab,Ferozepur,30.954424,74.612085,Sikh Extremists,Government (General),43.179702008062264
97,198405290004,1984,5,29,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Sikh Extremists,Military,43.179702008062264
98,198405300004,1984,5,30,India,Punjab,Amritsar,31.633078,74.878288,Unknown,Government (General),60.44504046438079
99,198405300005,1984,5,30,India,Punjab,Tarn Taran,31.448943,74.925262,Unknown,Police,60.44504046438079
100,198406020002,1984,6,2,India,Punjab,Patiala district,30.34,76.38,Unknown,Private Citizens & Property,60.44504046438079
101,198406020003,1984,6,2,India,Punjab,Hoshiarpur,31.524624,75.905947,Unknown,Government (General),60.44504046438079
102,198406020004,1984,6,2,India,Punjab,Lakhuwal,31.558333,75.294722,Sikh Extremists,Private Citizens & Property,43.179702008062264
103,198406020005,1984,6,2,India,Punjab,Khanewal,29.886653000000003,76.019607,Sikh Extremists,Private Citizens & Property,43.179702008062264
104,198406150008,1984,6,15,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Sikh Extremists,Religious Figures/Institutions,43.179702008062264
105,198406160003,1984,6,16,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Sikh Extremists,Government (General),43.179702008062264
106,198406240014,1984,6,24,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Religious Figures/Institutions,60.44504046438079
107,198406240015,1984,6,24,India,Punjab,Batala,31.8186,75.2028,Unknown,Private Citizens & Property,60.44504046438079
108,198407280002,1984,7,28,Pakistan,Federally Administered Tribal Areas,Sadda,33.703938,70.32865100000001,Unknown,Private Citizens & Property,60.44504046438079
109,198408090005,1984,8,9,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Business,34.740195575009565
110,198408100005,1984,8,10,India,Karnataka,Unknown,15.317278,75.713889,Unknown,Airports & Aircraft,60.44504046438079
111,198409120006,1984,9,12,India,Punjab,Batala,31.8186,75.2028,Sikh Extremists,Transportation,43.179702008062264
112,198410310002,1984,10,31,India,Delhi,New Delhi,28.585835999999997,77.153336,Sikh Extremists,Government (General),43.179702008062264
113,198411180004,1984,11,18,Sri Lanka,Northern,Tellippalai,9.783333,80.033333,Separatists,Military,33.980609521919135
114,198411270011,1984,11,27,India,Maharashtra,Bombay,19.075984,72.877656,Others,Government (General),3.8260151319598084
115,198412020001,1984,12,2,Sri Lanka,Eastern,Akaraipattu,7.219392,81.849757,Tamils,Police,34.740195575009565
116,198412080002,1984,12,8,India,Manipur,Imphal,24.798346,93.94043,National Socialist Council of Nagaland,Government (General),26.505690064724405
117,198501140001,1985,1,14,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Transportation,52.925560465320395
118,198501140002,1985,1,14,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Transportation,52.925560465320395
119,198501140003,1985,1,14,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Transportation,52.925560465320395
120,198501230001,1985,1,23,Sri Lanka,Eastern,Batticaloa,7.733107,81.68881999999999,Unknown,Police,60.44504046438079
121,198501290001,1985,1,29,Sri Lanka,Eastern,Kalawanchikudi,7.529372,81.794609,Unknown,Other,60.44504046438079
122,198502050002,1985,2,5,India,Tripura,Unknown,23.940848000000003,91.988153,Tripura National Volunteers (TNV),Private Citizens & Property,20.923549076397617
123,198503240001,1985,3,24,India,Chandigarh,Chandigarh,30.733315,76.779418,Sikh Extremists,Government (General),43.179702008062264
124,198504100001,1985,4,10,Sri Lanka,Western,Colombo,6.941837,79.861687,Tamils,Transportation,34.740195575009565
125,198504190001,1985,4,19,India,Punjab,Amritsar,31.633078,74.878288,Sikh Extremists,Government (General),43.179702008062264
126,198504210005,1985,4,21,Sri Lanka,Eastern,Eravur,7.775413,81.606247,Tamils,Private Citizens & Property,34.740195575009565
127,198504220001,1985,4,22,Sri Lanka,Western,Colombo,6.941837,79.861687,Tamils,Military,34.740195575009565
128,198504280003,1985,4,28,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Unknown,Military,60.44504046438079
129,198505060001,1985,5,6,India,Punjab,Dhariwal,31.958503999999998,75.323245,Sikh Extremists,Government (General),43.179702008062264
130,198505070001,1985,5,7,India,Punjab,Bhatinda,30.210994,74.945474,Unknown,Police,60.44504046438079
131,198505140012,1985,5,14,Sri Lanka,North Central,Anuradhapura,8.345185,80.388133,Liberation Tigers of Tamil Eelam (LTTE),Private Citizens & Property,52.925560465320395
132,198505200002,1985,5,20,Sri Lanka,Eastern,Kiran,7.867780000000001,81.510266,Tamils,Police,34.740195575009565
133,198506110003,1985,6,11,Sri Lanka,Eastern,Trincomalee,8.577826,81.218719,Tamils,Business,34.740195575009565
134,198506200020,1985,6,20,India,Uttar Pradesh,Meerut,28.984462,77.706414,Unknown,Government (General),60.44504046438079
135,198506270011,1985,6,27,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Journalists & Media,34.740195575009565
136,198506280004,1985,6,28,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Journalists & Media,34.740195575009565
137,198507090001,1985,7,9,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Business,34.740195575009565
138,198508020010,1985,8,2,Sri Lanka,North Central,Somawathiya Chaitiya,8.166667,81.216667,Liberation Tigers of Tamil Eelam (LTTE),Religious Figures/Institutions,52.925560465320395
139,198508120001,1985,8,12,Sri Lanka,Western,Colombo,6.941837,79.861687,Tamils,Transportation,34.740195575009565
140,198508130001,1985,8,13,Sri Lanka,Northern,Vavuniya,8.757816,80.48790699999999,Tamils,Police,34.740195575009565
141,198508140011,1985,8,14,Sri Lanka,Eastern,Aranthalawa,7.528,81.47783299999999,Liberation Tigers of Tamil Eelam (LTTE),Private Citizens & Property,52.925560465320395
142,198508200010,1985,8,20,India,Uttar Pradesh,Sherpur,25.569805,83.79468100000001,Others,Government (General),7.509534070415919
143,198508260001,1985,8,26,Sri Lanka,Eastern,Ampara,7.301756,81.67473000000001,Tamils,Military,34.740195575009565
144,198509040011,1985,9,4,India,Delhi,New Delhi,28.585835999999997,77.153336,Unknown,Government (General),60.44504046438079
145,198509040012,1985,9,4,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Others,Private Citizens & Property,14.989140354215243
146,198509040013,1985,9,4,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Others,Private Citizens & Property,14.989140354215243
147,198509080001,1985,9,8,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Government (General),60.44504046438079
148,198509140002,1985,9,14,Sri Lanka,Eastern,Thampalakamam,8.499728,81.094412,Unknown,Transportation,60.44504046438079
149,198509240001,1985,9,24,Sri Lanka,Northern,Kilinochchi,9.380289,80.377,Separatists,Police,33.980609521919135
150,198510280002,1985,10,28,Sri Lanka,Eastern,Vellaveli,7.503357,81.73035899999999,Unknown,Police,60.44504046438079
151,198510280003,1985,10,28,Sri Lanka,Eastern,Santhiveli,7.843164,81.548239,Unknown,Police,60.44504046438079
152,198510290002,1985,10,29,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Government (General),60.44504046438079
153,198511240001,1985,11,24,Sri Lanka,Northern,Mullaitivu,9.267091,80.81424799999999,Unknown,Military,60.44504046438079
154,198511240002,1985,11,24,Sri Lanka,Eastern,Batticaloa,7.733107,81.68881999999999,Unknown,Police,60.44504046438079
155,198512130001,1985,12,13,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Military,34.740195575009565
156,198601120005,1986,1,12,Sri Lanka,Western,Colombo,6.941837,79.861687,Others,Police,5.080786384402028
157,198603250007,1986,3,25,Sri Lanka,Northern,Vavuniya,8.757816,80.48790699999999,Tamils,Police,34.740195575009565
158,198605060010,1986,5,6,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Terrorists/Non-State Militia,52.925560465320395
159,198605230012,1986,5,23,Sri Lanka,Eastern,Trincomalee,8.577826,81.218719,Liberation Tigers of Tamil Eelam (LTTE),Private Citizens & Property,52.925560465320395
160,198605250013,1986,5,25,Sri Lanka,Eastern,Padavi Sripura,8.924966,80.80870999999999,Liberation Tigers of Tamil Eelam (LTTE),Private Citizens & Property,52.925560465320395
161,198607130005,1986,7,13,Sri Lanka,Northern,Pavat Kulam,8.698915,80.417397,Liberation Tigers of Tamil Eelam (LTTE),Private Citizens & Property,52.925560465320395
162,198607150005,1986,7,15,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Police,60.44504046438079
163,198607300006,1986,7,30,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Government (General),60.44504046438079
164,198607310011,1986,7,31,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Others,Military,10.998768596319078
165,198607310013,1986,7,31,Sri Lanka,Eastern,Batticaloa,7.785857000000001,81.589802,Liberation Tigers of Tamil Eelam (LTTE),Educational Institution,52.925560465320395
166,198608120008,1986,8,12,Sri Lanka,Eastern,Trincomalee,8.577826,81.218719,Unknown,Private Citizens & Property,60.44504046438079
167,198608250004,1986,8,25,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Tamils,Military,34.740195575009565
168,198608280019,1986,8,28,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Unknown,Military,60.44504046438079
169,198609030002,1986,9,3,Sri Lanka,Eastern,Batticaloa,7.733107,81.68881999999999,Tamils,Police,34.740195575009565
170,198609050009,1986,9,5,Pakistan,Sindh,Karachi,24.891115,67.143311,Others,Airports & Aircraft,18.763325319916614
171,198609160011,1986,9,16,Sri Lanka,Northern,Unknown,8.885503,80.276733,Separatists,Police,33.980609521919135
172,198609240004,1986,9,24,Sri Lanka,Eastern,Trincomalee district,8.5922,81.19679599999999,Separatists,Transportation,33.980609521919135
173,198609250005,1986,9,25,India,Punjab,Langeri,31.175476,75.93108199999999,Sikh Extremists,Government (General),43.179702008062264
174,198609290009,1986,9,29,India,Punjab,Amritsar,31.633078,74.878288,Unknown,Government (General),60.44504046438079
175,198610120004,1986,10,12,Sri Lanka,Northern,Adampan,8.932574,79.997592,Tamils,Police,34.740195575009565
176,198702010004,1987,2,1,Pakistan,Balochistan,Qila Abdullah district,30.772527,66.679371,Others,Transportation,2.7397207708399183
177,198702160004,1987,2,16,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Others,Violent Political Party,10.581836305004146
178,198702180005,1987,2,18,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Unknown,Private Citizens & Property,60.44504046438079
179,198702190002,1987,2,19,Pakistan,North-West Frontier Province,Peshawar,34.006004,71.53743,Unknown,Private Citizens & Property,60.44504046438079
180,198702260007,1987,2,26,Bangladesh,Dhaka,Dhaka,23.791275,90.418205,Others,Police,5.080786384402028
181,198702280069,1987,2,28,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Others,Private Citizens & Property,10.581836305004146
182,198703030001,1987,3,3,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Others,Private Citizens & Property,9.43696330844901
183,198703030002,1987,3,3,India,Punjab,Unknown,31.147130999999998,75.34121800000001,Others,Private Citizens & Property,9.43696330844901
184,198703080003,1987,3,8,Sri Lanka,Western,Colombo,6.941837,79.861687,Liberation Tigers of Tamil Eelam (LTTE),Military,52.925560465320395
185,198703090011,1987,3,9,India,Punjab,Amritsar,31.633078,74.878288,Unknown,Religious Figures/Institutions,60.44504046438079
186,198703100001,1987,3,10,Bangladesh,Dhaka,Dhaka,23.791275,90.418205,Unknown,Educational Institution,60.44504046438079
187,198703150006,1987,3,15,India,Tamil Nadu,Chennai,13.08268,80.270718,Tamils,Transportation,34.740195575009565
188,198703230025,1987,3,23,Pakistan,Islamabad Capital Territory,Islamabad,33.671638,73.05606800000001,Unknown,Government (General),60.44504046438079
189,198703240003,1987,3,24,Sri Lanka,Western,Colombo,6.941837,79.861687,Tamils,Journalists & Media,34.740195575009565
190,198703310004,1987,3,31,Sri Lanka,Eastern,Pachchanur,8.410029,81.26737,Others,Transportation,10.581836305004146
191,198703310005,1987,3,31,Sri Lanka,Northern,Jaffna District,9.66123,80.02558,Liberation Tigers of Tamil Eelam (LTTE),Journalists & Media,52.925560465320395
192,198704040003,1987,4,4,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Government (General),52.925560465320395
193,198704070001,1987,4,7,India,Punjab,Amritsar district,31.633978999999997,74.872264,Unknown,Private Citizens & Property,60.44504046438079
194,198704090006,1987,4,9,Pakistan,Punjab,Rawalpindi,33.594013000000004,73.06907700000001,Unknown,Private Citizens & Property,60.44504046438079
195,198704130001,1987,4,13,Pakistan,North-West Frontier Province,Peshawar,34.006004,71.53743,Unknown,Transportation,60.44504046438079
196,198704150003,1987,4,15,India,Delhi,New Delhi,28.585835999999997,77.153336,Sikh Extremists,Transportation,43.179702008062264
197,198704170009,1987,4,17,India,Punjab,Pakhoke,30.422689000000002,75.430103,Unknown,Private Citizens & Property,60.44504046438079
198,198704170010,1987,4,17,Sri Lanka,Eastern,Trincomalee,8.577826,81.218719,Liberation Tigers of Tamil Eelam (LTTE),Transportation,52.925560465320395
199,198704200006,1987,4,20,Sri Lanka,Eastern,Wan Ela,8.366369,81.072225,Tamils,Private Citizens & Property,34.740195575009565
200,198704200007,1987,4,20,Sri Lanka,Eastern,Wan Ela,8.366369,81.072225,Unknown,Police,60.44504046438079
201,198704200008,1987,4,20,Sri Lanka,Northern,Oddusudan,9.151898,80.64934000000001,Tamils,Police,34.740195575009565
202,198704200009,1987,4,20,Sri Lanka,North Central,Jayanthipura,7.948316,81.00178299999999,Tamils,Private Citizens & Property,34.740195575009565
203,198704210017,1987,4,21,Sri Lanka,Western,Colombo,6.941837,79.861687,Liberation Tigers of Tamil Eelam (LTTE),Transportation,52.925560465320395
204,198704260004,1987,4,26,Sri Lanka,Eastern,Trincomalee district,8.5922,81.19679599999999,Tamils,Police,34.740195575009565
205,198704270002,1987,4,27,India,Punjab,Gurdaspur District,32.040763,75.401886,Unknown,Military,60.44504046438079
206,198705040025,1987,5,4,Pakistan,Federally Administered Tribal Areas,Naurakh,32.981578000000006,70.171028,Unknown,Private Citizens & Property,60.44504046438079
207,198705040026,1987,5,4,Pakistan,Federally Administered Tribal Areas,Miran Shah,33.006516,70.068253,Unknown,Government (General),60.44504046438079
208,198705040027,1987,5,4,Pakistan,Federally Administered Tribal Areas,Miran Shah,33.006516,70.068253,Unknown,Religious Figures/Institutions,60.44504046438079
209,198705110004,1987,5,11,Sri Lanka,Western,Colombo,6.941837,79.861687,Unknown,Transportation,60.44504046438079
210,198705110005,1987,5,11,Sri Lanka,Western,Katunayake,7.169623,79.891281,Unknown,Airports & Aircraft,60.44504046438079
211,198705140007,1987,5,14,Pakistan,North-West Frontier Province,Peshawar,34.006004,71.53743,Unknown,Transportation,60.44504046438079
212,198705140008,1987,5,14,Sri Lanka,Eastern,Trincomalee district,8.5922,81.19679599999999,Unknown,Military,60.44504046438079
213,198705200016,1987,5,20,India,Punjab,Rama Mandi,31.305985999999997,75.63972,Unknown,Police,60.44504046438079
214,198705220006,1987,5,22,Pakistan,Punjab,Rawalpindi,33.594013000000004,73.06907700000001,Unknown,Transportation,60.44504046438079
215,198706010007,1987,6,1,Sri Lanka,Central,Kandy,7.293839999999999,80.64066899999999,Liberation Tigers of Tamil Eelam (LTTE),Religious Figures/Institutions,52.925560465320395
216,198706020002,1987,6,2,India,Punjab,Jalandhar,31.326015,75.576183,Sikh Extremists,Business,43.179702008062264
217,198706020003,1987,6,2,Pakistan,Punjab,Rawalpindi,33.594013000000004,73.06907700000001,Unknown,Private Citizens & Property,60.44504046438079
218,198706020011,1987,6,2,Sri Lanka,Eastern,Ampara district,7.301756,81.67473000000001,Tamils,Transportation,34.740195575009565
